date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:02	141/141	---M-Z	200	added ('OK')	text/plain	etag:%2280925fdc795dce1:0%22	http://www.stuartslandscaping.com/robots.txt		(from )
16:08:02	20858/20858	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2021:07:59%20GMT	http://www.stuartslandscaping.com/	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/index.html	(from )
16:08:03	5662/5662	---M--	200	added ('OK')	image/x-icon	etag:%22807585cbccfdce1:0%22	http://www.stuartslandscaping.com/favicon.ico	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/favicon.ico	(from http://www.stuartslandscaping.com/)
16:08:03	235062/235062	---M-Z	200	added ('OK')	text/css	etag:%2202a1e679b89cf1:0%22	http://www.stuartslandscaping.com/css/sass.css	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/css/sass.css	(from http://www.stuartslandscaping.com/)
16:08:05	200/200	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Oct%202021%2021:08:00%20GMT	http://www.stuartslandscaping.com/img/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/img/apple-touch-icon-72x72-precomposed.2.delayed	(from http://www.stuartslandscaping.com/)
16:08:05	12714/12714	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2021:08:01%20GMT	http://www.stuartslandscaping.com/img/apple-touch-icon-72x72-precomposed.png/	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/img/apple-touch-icon-72x72-precomposed.png/index.html	(from http://www.stuartslandscaping.com/)
16:08:05	202/202	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Oct%202021%2021:08:01%20GMT	http://www.stuartslandscaping.com/img/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/img/apple-touch-icon-114x114-precomposed.3.delayed	(from http://www.stuartslandscaping.com/)
16:08:05	195/195	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Oct%202021%2021:08:02%20GMT	http://www.stuartslandscaping.com/img/touch-icon-iphone-precomposed.png	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/img/touch-icon-iphone-precomposed.4.delayed	(from http://www.stuartslandscaping.com/)
16:08:05	12714/12714	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2021:08:02%20GMT	http://www.stuartslandscaping.com/img/apple-touch-icon-114x114-precomposed.png/	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/img/apple-touch-icon-114x114-precomposed.png/index.html	(from http://www.stuartslandscaping.com/)
16:08:06	4895/4895	---M-Z	200	added ('OK')	text/css	etag:%220962187ce68ce1:0%22	http://www.stuartslandscaping.com/css/jquery.fancybox.css	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/css/jquery.fancybox.css	(from http://www.stuartslandscaping.com/)
16:08:06	12777/12777	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Oct%202021%2021:08:02%20GMT	http://www.stuartslandscaping.com/img/touch-icon-iphone-precomposed.png/	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/img/touch-icon-iphone-precomposed.png/index.html	(from http://www.stuartslandscaping.com/)
16:08:07	19437/19437	---M-Z	200	added ('OK')	application/javascript	etag:%228059545b619bcd1:0%22	http://www.stuartslandscaping.com/js/vendor/modernizr-2.6.1-respond-1.1.0.min.js	C:/My%20Web%20Sites/Stuarts%20Landscaping/www.stuartslandscaping.com/js/vendor/modernizr-2.6.1-respond-1.1.0.min.js	(from http://www.stuartslandscaping.com/)
